,title,price,link,imgurl
20,ASUS Vivobook 15 Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312W Thin and Li...,"₹31,990",/asus-vivobook-15-core-i3-11th-gen-1115g4-8-gb-256-gb-ssd-windows-11-home-x515ea-ej312w-thin-light-laptop/p/itm7aa1836156b37?pid=COMG9WH98ZNYXWYH&lid=LSTCOMG9WH98ZNYXWYHARCWA8&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=en_PfaSkp5zjOXnF5g6D22IbUpzCM-5flcFbR4j4dvKf7wOLjPK3xrK2zgPPhrm1-NoG4HyKkB8vU4G-dNL4cSCPw%3D%3D&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/e/f/-original-imagrgprbhchwgve.jpeg?q=70
21,MSI GF63 Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1...,"₹52,990",/msi-gf63-core-i5-11th-gen-11260h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-thin-11sc-1494in-gaming-laptop/p/itm99c03c748e149?pid=COMGRDC8SWJGGTZC&lid=LSTCOMGRDC8SWJGGTZCDYO4OJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=en_PfaSkp5zjOXnF5g6D22IbUpzCM-5flcFbR4j4dvKf7wNkAPgmaa4MZBMPayZLsuIzARa-kchXy0ATRnqyZ4WMQ%3D%3D&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/r/k/-original-imagsz5x5x3vkt8c.jpeg?q=70
22,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) Ideapad 3 15IT...,"₹34,990",/lenovo-ideapad-slim-3-intel-core-i3-11th-gen-1115g4-8-gb-512-gb-ssd-windows-11-home-15itl6-ub-thin-light-laptop/p/itmf7ba442601f89?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMG9VHHG6Q3RRJX.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/f/v/-original-imaguyhzwj4tqwqu.jpeg?q=70
23,HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,"₹43,990",/hp-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15s-eq2144au-thin-light-laptop/p/itmd57b41ed8750a?pid=COMGBH9JDPVGD8BH&lid=LSTCOMGBH9JDPVGD8BHIZPQIL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMGBH9JDPVGD8BH.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/l/a/-original-imaguegyrwgefej2.jpeg?q=70
24,,,,
25,,,,
26,Acer One Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) One 14 Z8-415 Thin and Light Lapt...,"₹39,999",/acer-one-core-i3-11th-gen-1115g4-8-gb-256-gb-ssd-windows-11-home-14-z8-415-thin-light-laptop/p/itm91bac6ba57245?pid=COMGPF5C98GF8FEH&lid=LSTCOMGPF5C98GF8FEHWA9WDS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=1bd8ae13-48ae-449e-b468-45d83270e168.COMGPF5C98GF8FEH.SEARCH&ppt=None&ppn=None&ssid=csrxb3ru5s0000001701074933985&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/5/g/-original-imagtke7erkzwzfp.jpeg?q=70
27,Lenovo Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Laptop,"₹49,990",/lenovo-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-v15-g3-iap-thin-light-laptop/p/itm930d2b10f8362?pid=COMGTVXCHXKNHYY2&lid=LSTCOMGTVXCHXKNHYY2H99WMB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=1bd8ae13-48ae-449e-b468-45d83270e168.COMGTVXCHXKNHYY2.SEARCH&ppt=None&ppn=None&ssid=csrxb3ru5s0000001701074933985&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/t/c/v15-g2-alc-laptop-lenovo-original-imaghq2ffspmtfuh.jpeg?q=70
28,MSI Vector GP78 Core i9 13th Gen 13980HX - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeFor...,"₹3,59,990",/msi-vector-gp78-core-i9-13th-gen-13980hx-32-gb-2-tb-ssd-windows-11-home-16-gb-graphics-nvidia-geforce-rtx-4090-240-hz-gp78hx-13vi-409in-gaming-laptop/p/itmb4b16e2f8f018?pid=COMGRDC8SESHF9SR&lid=LSTCOMGRDC8SESHF9SRFILJSP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_27&otracker=search&fm=organic&iid=en_bxRO2cOlDp1DihVS-hCUYoSXi1Hq86zugKZjHWJX0YC9buNjqwc2cY-gZJfVMfLXmTcRdMIkxmgsoWl_r2RjfA%3D%3D&ppt=None&ppn=None&ssid=csrxb3ru5s0000001701074933985&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/c/m/vector-gp78hx-13vi-409in-gaming-laptop-msi-original-imagrwhvrhv3fguf.jpeg?q=70
29,ASUS Vivobook 15 Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and L...,"₹38,990",/asus-vivobook-15-core-i5-11th-gen-1135g7-8-gb-512-gb-ssd-windows-11-home-x515ea-ej522ws-thin-light-laptop/p/itmbfbbf7747aa01?pid=COMGFHNGGWNDVGSY&lid=LSTCOMGFHNGGWNDVGSY5C6JML&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_28&otracker=search&fm=organic&iid=en_bxRO2cOlDp1DihVS-hCUYoSXi1Hq86zugKZjHWJX0YCblbdVmvd0OJbMz2pjgNzmMKBnjElGOh5j_xhzHRB5Sw%3D%3D&ppt=None&ppn=None&ssid=csrxb3ru5s0000001701074933985&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/l/t/-original-imagtucmkuwggepy.jpeg?q=70
30,HP Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0025AU Thin and Light Laptop,"₹35,999",/hp-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-15-fc0025au-thin-light-laptop/p/itm3f21e9fdfc42f?pid=COMGZ7FRZDEQHNYQ&lid=LSTCOMGZ7FRZDEQHNYQLQYFBS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=1bd8ae13-48ae-449e-b468-45d83270e168.COMGZ7FRZDEQHNYQ.SEARCH&ppt=None&ppn=None&ssid=csrxb3ru5s0000001701074933985&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/l/i/-original-imaguhwhdbqgrrjb.jpeg?q=70
31,Lenovo Lenovo V15 Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/Windows 11 Home) 82QYA00MIN Laptop,"₹24,990",/lenovo-v15-celeron-dual-core-4th-gen-8-gb-256-gb-ssd-windows-11-home-82qya00min-laptop/p/itmdad173c69b235?pid=COMGZNMS5AHPF2GP&lid=LSTCOMGZNMS5AHPF2GPPMPOX7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_30&otracker=search&fm=organic&iid=1bd8ae13-48ae-449e-b468-45d83270e168.COMGZNMS5AHPF2GP.SEARCH&ppt=None&ppn=None&ssid=csrxb3ru5s0000001701074933985&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/screen-guard/screen-guard/4/b/d/asg-14715-saco-original-imaghqbah9jycshw.jpeg?q=70
